"Team","Map","Condition","Attacking Wins","Attacking Losses","Defending Wins","Defending Losses"
"100 Thieves","Bind","bomb",4,0,0,3
"100 Thieves","Bind","defuse",0,0,4,0
"100 Thieves","Bind","kills (post-plant)",8,0,0,5
"100 Thieves","Bind","kills (pre-plant)",0,7,8,0
"100 Thieves","Bind","time",0,0,2,0
"100 Thieves","Breeze","defuse",0,0,4,0
"100 Thieves","Breeze","kills (post-plant)",3,0,0,3
"100 Thieves","Breeze","kills (pre-plant)",1,1,4,0
"100 Thieves","Breeze","time",0,0,1,0
"100 Thieves","Fracture","bomb",2,0,0,0
"100 Thieves","Fracture","defuse",0,1,1,0
"100 Thieves","Fracture","kills (post-plant)",7,0,0,3
"100 Thieves","Fracture","kills (pre-plant)",1,1,1,0
"100 Thieves","Fracture","time",0,0,1,0
"100 Thieves","Haven","defuse",0,1,2,0
"100 Thieves","Haven","kills (post-plant)",3,0,0,8
"100 Thieves","Haven","kills (pre-plant)",0,3,1,1
"100 Thieves","Split","bomb",3,0,0,1
"100 Thieves","Split","defuse",0,1,2,0
"100 Thieves","Split","kills (post-plant)",1,0,0,4
"100 Thieves","Split","kills (pre-plant)",0,6,3,0
"100 Thieves","Split","time",0,1,1,0
"Cloud9","Ascent","bomb",0,0,0,2
"Cloud9","Ascent","defuse",0,3,0,0
"Cloud9","Ascent","kills (post-plant)",1,0,0,7
"Cloud9","Ascent","kills (pre-plant)",1,1,1,0
"Cloud9","Ascent","time",0,0,2,0
"Cloud9","Fracture","defuse",0,6,2,0
"Cloud9","Fracture","kills (post-plant)",11,0,0,9
"Cloud9","Fracture","kills (pre-plant)",0,7,5,0
"Cloud9","Haven","bomb",1,0,0,2
"Cloud9","Haven","defuse",0,6,4,0
"Cloud9","Haven","kills (post-plant)",5,0,0,10
"Cloud9","Haven","kills (pre-plant)",0,7,8,0
"Cloud9","Haven","time",0,1,0,0
"Cloud9","Icebox","bomb",3,0,0,0
"Cloud9","Icebox","defuse",0,5,8,0
"Cloud9","Icebox","kills (post-plant)",14,0,0,8
"Cloud9","Icebox","kills (pre-plant)",0,4,3,0
"Evil Geniuses","Ascent","bomb",2,0,0,1
"Evil Geniuses","Ascent","defuse",0,3,0,0
"Evil Geniuses","Ascent","kills (post-plant)",5,0,0,5
"Evil Geniuses","Ascent","kills (pre-plant)",0,1,6,0
"Evil Geniuses","Ascent","time",0,1,0,0
"Evil Geniuses","Bind","defuse",0,0,4,0
"Evil Geniuses","Bind","kills (post-plant)",3,0,0,2
"Evil Geniuses","Bind","kills (pre-plant)",0,0,6,0
"Evil Geniuses","Fracture","defuse",0,2,2,0
"Evil Geniuses","Fracture","kills (post-plant)",4,0,0,7
"Evil Geniuses","Fracture","kills (pre-plant)",0,4,3,0
"Evil Geniuses","Icebox","bomb",2,0,0,0
"Evil Geniuses","Icebox","defuse",0,10,7,0
"Evil Geniuses","Icebox","kills (post-plant)",22,0,0,17
"Evil Geniuses","Icebox","kills (pre-plant)",0,3,8,1
"Evil Geniuses","Icebox","time",0,1,0,0
"FaZe Clan","Ascent","bomb",1,0,0,1
"FaZe Clan","Ascent","defuse",0,1,1,0
"FaZe Clan","Ascent","kills (post-plant)",2,0,0,2
"FaZe Clan","Ascent","kills (pre-plant)",0,7,4,1
"FaZe Clan","Ascent","time",0,1,0,0
"FaZe Clan","Fracture","bomb",3,0,0,4
"FaZe Clan","Fracture","defuse",0,2,8,0
"FaZe Clan","Fracture","kills (post-plant)",8,0,0,10
"FaZe Clan","Fracture","kills (pre-plant)",2,13,10,2
"FaZe Clan","Fracture","time",0,0,2,0
"FaZe Clan","Haven","defuse",0,1,5,0
"FaZe Clan","Haven","kills (post-plant)",6,0,0,2
"FaZe Clan","Haven","kills (pre-plant)",0,5,2,0
"FaZe Clan","Icebox","bomb",3,0,0,1
"FaZe Clan","Icebox","defuse",0,4,4,0
"FaZe Clan","Icebox","kills (post-plant)",3,0,0,5
"FaZe Clan","Icebox","kills (pre-plant)",0,3,1,1
"FaZe Clan","Icebox","time",0,0,1,0
"Ghost Gaming","Ascent","bomb",0,0,0,1
"Ghost Gaming","Ascent","defuse",0,4,5,0
"Ghost Gaming","Ascent","kills (post-plant)",2,0,0,1
"Ghost Gaming","Ascent","kills (pre-plant)",0,4,1,1
"Ghost Gaming","Ascent","time",0,2,0,0
"Ghost Gaming","Breeze","bomb",1,0,0,0
"Ghost Gaming","Breeze","defuse",0,0,1,0
"Ghost Gaming","Breeze","kills (post-plant)",3,0,0,3
"Ghost Gaming","Breeze","kills (pre-plant)",0,2,7,0
"Ghost Gaming","Breeze","time",0,0,1,0
"Ghost Gaming","Fracture","bomb",2,0,0,2
"Ghost Gaming","Fracture","defuse",0,3,4,0
"Ghost Gaming","Fracture","kills (post-plant)",10,0,0,7
"Ghost Gaming","Fracture","kills (pre-plant)",0,8,6,0
"Ghost Gaming","Fracture","time",0,1,0,0
"Ghost Gaming","Haven","bomb",3,0,0,2
"Ghost Gaming","Haven","defuse",0,4,12,0
"Ghost Gaming","Haven","kills (post-plant)",14,0,0,9
"Ghost Gaming","Haven","kills (pre-plant)",0,4,5,0
"Ghost Gaming","Haven","time",0,1,3,0
"Luminosity Gaming","Bind","bomb",2,0,0,1
"Luminosity Gaming","Bind","defuse",0,8,3,0
"Luminosity Gaming","Bind","kills (post-plant)",6,0,0,7
"Luminosity Gaming","Bind","kills (pre-plant)",0,8,4,0
"Luminosity Gaming","Breeze","bomb",1,0,0,0
"Luminosity Gaming","Breeze","defuse",0,4,4,0
"Luminosity Gaming","Breeze","kills (post-plant)",4,0,0,6
